# MCMI-IV Table D.4: Raw Score to Base Rate and Percentile Rank Transformations
# for the Grossman Facet Scales
# Source: Pages 114-115
# Format: Facet,Raw_Score,BR,PR
# NOTE: Values extracted via vision from scanned images. Verify against page images for critical use.

## Page 114 (Left Table): Facets 1.1 through 6B.3

### 1.1 Interpersonally Unengaged (9 items, max 9)
3.1,6,78,84
3.1,7,82,91
3.1,8,85,96
3.1,9,100,99

### 3.2 Interpersonally Submissive (7 items, max 7)
3.2,0,0,2
3.2,1,20,7
3.2,2,40,14
3.2,3,60,26
3.2,4,70,35
3.2,5,75,44
3.2,6,80,53
3.2,7,85,64

### 3.3 Inept Self-Image (9 items, max 9)
3.3,0,0,2
3.3,1,12,8
3.3,2,24,17
3.3,3,36,26
3.3,4,48,35
3.3,5,60,48
3.3,6,64,53
3.3,7,68,61
3.3,8,72,69
3.3,9,80,77

### 4A.1 Expressively Dramatic (7 items, max 7)
4A.1,0,0,7
4A.1,1,60,35
4A.1,2,65,55
4A.1,3,70,70
4A.1,4,75,83
4A.1,5,80,92
4A.1,6,85,97
4A.1,7,100,99

### 4A.2 Interpersonally Attention-Seeking (10 items, max 10)
4A.2,0,0,2
4A.2,1,12,11
4A.2,2,30,22
4A.2,3,60,34
4A.2,4,60,45
4A.2,5,65,57
4A.2,6,70,68
4A.2,7,75,80
4A.2,8,85,90
4A.2,9,100,99
4A.2,10,85,97

### 4A.3 Temperamentally Fickle (12 items, max 12)
4A.3,0,0,2
4A.3,1,12,10
4A.3,2,30,20
4A.3,3,45,30
4A.3,4,60,41
4A.3,5,65,53
4A.3,6,70,64
4A.3,7,75,74
4A.3,8,82,84
4A.3,9,85,88
4A.3,10,85,97
4A.3,11,82,93
4A.3,12,85,98

### 4B.1 Expressively Impetuous (8 items, max 8)
4B.1,0,0,7
4B.1,1,20,22
4B.1,2,40,35
4B.1,3,60,48
4B.1,4,65,59
4B.1,5,70,69
4B.1,6,75,80
4B.1,7,85,89
4B.1,8,100,99

### 4B.2 Interpersonally High-Spirited (9 items, max 9)
4B.2,0,0,3
4B.2,1,15,11
4B.2,2,30,22
4B.2,3,45,34
4B.2,4,60,45
4B.2,5,65,57
4B.2,6,70,71
4B.2,7,75,84
4B.2,8,85,95
4B.2,9,100,99

### 4B.3 Exalted Self-Image (8 items, max 8)
4B.3,0,0,3
4B.3,1,15,10
4B.3,2,30,20
4B.3,3,45,30
4B.3,4,60,41
4B.3,5,65,53
4B.3,6,70,68
4B.3,7,75,84
4B.3,8,85,96

### 5.1 Interpersonally Exploitive (9 items, max 9)
5.1,0,0,10
5.1,1,30,31
5.1,2,60,50
5.1,3,64,64
5.1,4,70,76
5.1,5,75,84
5.1,6,80,91
5.1,7,85,96
5.1,8,85,98
5.1,9,100,99

### 5.2 Cognitively Expansive (10 items, max 10)
5.2,0,0,3
5.2,1,12,10
5.2,2,24,20
5.2,3,36,30
5.2,4,48,41
5.2,5,60,53
5.2,6,65,64
5.2,7,70,71
5.2,8,75,82
5.2,9,85,92
5.2,10,100,99

### 5.3 Admirable Self-Image (8 items, max 8)
5.3,0,0,18
5.3,1,60,50
5.3,2,68,71
5.3,3,75,83
5.3,4,80,90
5.3,5,85,96
5.3,6,85,99
5.3,7,100,99
5.3,8,100,99

### 6A.1 Interpersonally Irresponsible (8 items, max 8)
6A.1,0,0,7
6A.1,1,30,26
6A.1,2,60,48
6A.1,3,65,65
6A.1,4,70,75
6A.1,5,75,87
6A.1,6,85,97
6A.1,7,100,99
6A.1,8,100,99

### 6A.2 Autonomous Self-Image (10 items, max 10)
6A.2,0,0,8
6A.2,1,30,27
6A.2,2,60,48
6A.2,3,65,66
6A.2,4,70,75
6A.2,5,75,87
6A.2,6,80,93
6A.2,7,85,97
6A.2,8,85,99
6A.2,9,100,99
6A.2,10,100,99

### 6A.3 Acting-Out Dynamics (10 items, max 10)
6A.3,0,0,13
6A.3,1,60,40
6A.3,2,64,61
6A.3,3,68,72
6A.3,4,72,79
6A.3,5,75,83
6A.3,6,78,88
6A.3,7,82,94
6A.3,8,85,97
6A.3,9,85,99
6A.3,10,92,99

### 6B.1 Expressively Precipitate (11 items, max 11)
6B.1,0,0,10
6B.1,1,30,29
6B.1,2,60,46
6B.1,3,65,61
6B.1,4,68,68
6B.1,5,72,74
6B.1,6,75,78
6B.1,7,78,84
6B.1,8,82,90
6B.1,9,85,93
6B.1,10,85,98
6B.1,11,100,99

### 6B.2 Interpersonally Abrasive (7 items, max 7)
6B.2,0,0,13
6B.2,1,60,35
6B.2,2,64,55
6B.2,3,68,72
6B.2,4,75,85
6B.2,5,80,90
6B.2,6,85,95
6B.2,7,100,99

### 6B.3 Eruptive Architecture (7 items, max 7)
6B.3,0,0,19
6B.3,1,60,49
6B.3,2,64,66
6B.3,3,68,76
6B.3,4,75,84
6B.3,5,80,90
6B.3,6,85,97
6B.3,7,100,99

## Page 115 (Right Table): Facets 7.1 through P.3

### 7.1 Expressively Disciplined (8 items, max 8)
7.1,0,0,1
7.1,1,15,6
7.1,2,30,15
7.1,3,45,28
7.1,4,60,42
7.1,5,65,57
7.1,6,70,72
7.1,7,75,86
7.1,8,85,96

### 7.2 Cognitively Constricted (12 items, max 12)
7.2,0,0,2
7.2,1,12,7
7.2,2,24,14
7.2,3,36,23
7.2,4,48,34
7.2,5,60,44
7.2,6,64,55
7.2,7,68,66
7.2,8,72,76
7.2,9,75,84
7.2,10,80,91
7.2,11,85,97
7.2,12,100,99

### 7.3 Reliable Self-Image (9 items, max 9)
7.3,0,0,1
7.3,1,10,1
7.3,2,20,3
7.3,3,30,7
7.3,4,40,14
7.3,5,50,23
7.3,6,60,36
7.3,7,68,52
7.3,8,75,72
7.3,9,85,92
7.3,10,100,99

### 8A.1 Expressively Embittered (9 items, max 9)
8A.1,0,0,9
8A.1,1,30,26
8A.1,2,60,40
8A.1,3,62,50
8A.1,4,65,60
8A.1,5,67,67
8A.1,6,69,73
8A.1,7,72,79
8A.1,8,75,84
8A.1,9,78,88

### 8A.2 Discontented Self-Image (11 items, max 11)
8A.2,0,0,13
8A.2,1,30,35
8A.2,2,60,49
8A.2,3,64,61
8A.2,4,68,70
8A.2,5,72,79
8A.2,6,75,87
8A.2,7,80,93
8A.2,8,85,97
8A.2,9,100,99
8A.2,10,85,93
8A.2,11,100,99

### 8A.3 Temperamentally Irritable (10 items, max 10)
8A.3,0,0,3
8A.3,1,30,12
8A.3,2,60,22
8A.3,3,64,32
8A.3,4,68,44
8A.3,5,72,55
8A.3,6,75,67
8A.3,7,80,79
8A.3,8,85,89
8A.3,9,100,97
8A.3,10,100,99

### 8B.1 Undeserving Self-Image (12 items, max 12)
8B.1,0,0,0
8B.1,1,20,12
8B.1,2,36,22
8B.1,3,48,32
8B.1,4,60,44
8B.1,5,65,55
8B.1,6,69,67
8B.1,7,72,79
8B.1,8,75,84
8B.1,9,78,88
8B.1,10,82,93
8B.1,11,85,96
8B.1,12,100,99

### 8B.2 Inverted Architecture (9 items, max 9)
8B.2,0,0,0
8B.2,1,24,10
8B.2,2,40,20
8B.2,3,60,37
8B.2,4,60,43
8B.2,5,65,51
8B.2,6,69,60
8B.2,7,72,71
8B.2,8,75,80
8B.2,9,85,90

### 8B.3 Temperamentally Dysphoric (9 items, max 9)
8B.3,0,0,3
8B.3,1,60,50
8B.3,2,68,71
8B.3,3,75,83
8B.3,4,80,90
8B.3,5,85,96
8B.3,6,85,99
8B.3,7,100,99
8B.3,8,100,99
8B.3,9,100,99

### S.1 Cognitively Circumstantial (9 items, max 9)
S.1,0,0,9
S.1,1,30,24
S.1,2,60,43
S.1,3,60,53
S.1,4,63,60
S.1,5,66,70
S.1,6,69,76
S.1,7,72,82
S.1,8,75,87
S.1,9,85,92

### S.2 Estranged Self-Image (11 items, max 11)
S.2,0,0,10
S.2,1,30,29
S.2,2,60,60
S.2,3,62,71
S.2,4,64,79
S.2,5,66,86
S.2,6,69,90
S.2,7,71,94
S.2,8,73,96
S.2,9,75,98
S.2,10,85,97
S.2,11,100,99

### S.3 Chaotic Content (11 items, max 11)
S.3,0,0,17
S.3,1,60,43
S.3,2,63,60
S.3,3,66,71
S.3,4,69,78
S.3,5,72,87
S.3,6,75,94
S.3,7,78,94
S.3,8,82,96
S.3,9,85,98
S.3,10,85,99
S.3,11,100,99

### C.1 Uncertain Self-Image (8 items, max 8)
C.1,0,0,14
C.1,1,30,34
C.1,2,60,47
C.1,3,64,56
C.1,4,68,63
C.1,5,72,71
C.1,6,75,79
C.1,7,80,87
C.1,8,85,95

### C.2 Split Architecture (11 items, max 11)
C.2,0,0,13
C.2,1,30,34
C.2,2,60,48
C.2,3,64,58
C.2,4,68,66
C.2,5,72,73
C.2,6,75,79
C.2,7,80,84
C.2,8,85,90
C.2,9,82,94
C.2,10,85,98
C.2,11,100,99

### C.3 Temperamentally Labile (10 items, max 10)
C.3,0,0,13
C.3,1,30,33
C.3,2,60,47
C.3,3,64,59
C.3,4,68,69
C.3,5,72,76
C.3,6,75,82
C.3,7,78,89
C.3,8,82,94
C.3,9,85,98
C.3,10,100,99

### P.1 Expressively Defensive (9 items, max 9)
P.1,0,0,9
P.1,1,20,24
P.1,2,40,37
P.1,3,60,49
P.1,4,63,60
P.1,5,66,71
P.1,6,69,80
P.1,7,72,86
P.1,8,75,90
P.1,9,85,97

### P.2 Cognitively Mistrustful (7 items, max 7)
P.2,0,0,14
P.2,1,60,39
P.2,2,65,58
P.2,3,70,73
P.2,4,75,85
P.2,5,80,93
P.2,6,85,97
P.2,7,100,99

### P.3 Projection Dynamics (10 items, max 10)
P.3,0,0,17
P.3,1,60,43
P.3,2,65,60
P.3,3,70,72
P.3,4,75,81
P.3,5,80,87
P.3,6,85,92
P.3,7,85,95
P.3,8,85,97
P.3,9,92,98
P.3,10,100,100
