table,scale,raw_score,br_value
D.2_anxiety_depression_personality,2B,18,77
D.2_anxiety_depression_personality,2B,19,80
D.2_anxiety_depression_personality,2B,20,83
D.2_anxiety_depression_personality,2B,21,86
D.2_anxiety_depression_personality,2B,22,89
D.2_anxiety_depression_personality,2B,23,92
D.2_anxiety_depression_personality,2B,24,96
D.2_anxiety_depression_personality,2B,25,100
D.2_anxiety_depression_personality,2B,26,104
D.2_anxiety_depression_personality,2B,27,109
D.2_anxiety_depression_personality,2B,28,115
D.2_anxiety_depression_personality,3,0,4
D.2_anxiety_depression_personality,3,1,14
D.2_anxiety_depression_personality,3,2,23
D.2_anxiety_depression_personality,3,3,30
D.2_anxiety_depression_personality,3,4,37
D.2_anxiety_depression_personality,3,5,43
D.2_anxiety_depression_personality,3,6,48
D.2_anxiety_depression_personality,3,7,53
D.2_anxiety_depression_personality,3,8,58
D.2_anxiety_depression_personality,3,9,62
D.2_anxiety_depression_personality,3,10,66
D.2_anxiety_depression_personality,3,11,70
D.2_anxiety_depression_personality,3,12,74
D.2_anxiety_depression_personality,3,13,78
D.2_anxiety_depression_personality,3,14,82
D.2_anxiety_depression_personality,3,15,86
D.2_anxiety_depression_personality,3,16,91
D.2_anxiety_depression_personality,3,17,96
D.2_anxiety_depression_personality,3,18,102
D.2_anxiety_depression_personality,3,19,109
D.2_anxiety_depression_personality,3,20,118
D.2_anxiety_depression_personality,4A,0,5
D.2_anxiety_depression_personality,4A,1,11
D.2_anxiety_depression_personality,4A,2,17
D.2_anxiety_depression_personality,4A,3,22
D.2_anxiety_depression_personality,4A,4,27
D.2_anxiety_depression_personality,4A,5,31
D.2_anxiety_depression_personality,4A,6,36
D.2_anxiety_depression_personality,4A,7,39
D.2_anxiety_depression_personality,4A,8,43
D.2_anxiety_depression_personality,4A,9,47
D.2_anxiety_depression_personality,4A,10,50
D.2_anxiety_depression_personality,4A,11,53
D.2_anxiety_depression_personality,4A,12,56
D.2_anxiety_depression_personality,4A,13,59
D.2_anxiety_depression_personality,4A,14,62
D.2_anxiety_depression_personality,4A,15,65
D.2_anxiety_depression_personality,4A,16,68
D.2_anxiety_depression_personality,4A,17,71
D.2_anxiety_depression_personality,4A,18,74
D.2_anxiety_depression_personality,4A,19,77
D.2_anxiety_depression_personality,4A,20,80
D.2_anxiety_depression_personality,4A,21,83
D.2_anxiety_depression_personality,4A,22,87
D.2_anxiety_depression_personality,4A,23,91
D.2_anxiety_depression_personality,4A,24,95
D.2_anxiety_depression_personality,4A,25,100
D.2_anxiety_depression_personality,4A,26,106
D.2_anxiety_depression_personality,4A,27,113
D.2_anxiety_depression_personality,4B,0,4
D.2_anxiety_depression_personality,4B,1,10
D.2_anxiety_depression_personality,4B,2,16
D.2_anxiety_depression_personality,4B,3,21
D.2_anxiety_depression_personality,4B,4,26
D.2_anxiety_depression_personality,4B,5,30
D.2_anxiety_depression_personality,4B,6,35
D.2_anxiety_depression_personality,4B,7,39
D.2_anxiety_depression_personality,4B,8,43
D.2_anxiety_depression_personality,4B,9,46
D.2_anxiety_depression_personality,4B,10,50
D.2_anxiety_depression_personality,4B,11,53
D.2_anxiety_depression_personality,4B,12,56
D.2_anxiety_depression_personality,4B,13,59
D.2_anxiety_depression_personality,4B,14,62
D.2_anxiety_depression_personality,4B,15,65
D.2_anxiety_depression_personality,4B,16,68
D.2_anxiety_depression_personality,4B,17,71
D.2_anxiety_depression_personality,4B,18,74
D.2_anxiety_depression_personality,4B,19,77
D.2_anxiety_depression_personality,4B,20,80
D.2_anxiety_depression_personality,4B,21,83
D.2_anxiety_depression_personality,4B,22,86
D.2_anxiety_depression_personality,4B,23,90
D.2_anxiety_depression_personality,4B,24,94
D.2_anxiety_depression_personality,4B,25,99
D.2_anxiety_depression_personality,4B,26,105
D.2_anxiety_depression_personality,4B,27,112
D.2_anxiety_depression_personality,5,0,5
D.2_anxiety_depression_personality,5,1,14
D.2_anxiety_depression_personality,5,2,22
D.2_anxiety_depression_personality,5,3,29
D.2_anxiety_depression_personality,5,4,36
D.2_anxiety_depression_personality,5,5,42
D.2_anxiety_depression_personality,5,6,47
D.2_anxiety_depression_personality,5,7,52
D.2_anxiety_depression_personality,5,8,57
D.2_anxiety_depression_personality,5,9,61
D.2_anxiety_depression_personality,5,10,65
D.2_anxiety_depression_personality,5,11,69
D.2_anxiety_depression_personality,5,12,73
D.2_anxiety_depression_personality,5,13,77
D.2_anxiety_depression_personality,5,14,81
D.2_anxiety_depression_personality,5,15,85
D.2_anxiety_depression_personality,5,16,89
D.2_anxiety_depression_personality,5,17,94
D.2_anxiety_depression_personality,5,18,100
D.2_anxiety_depression_personality,5,19,107
D.2_anxiety_depression_personality,5,20,115
D.2_anxiety_depression_personality,6A,0,6
D.2_anxiety_depression_personality,6A,1,17
D.2_anxiety_depression_personality,6A,2,28
D.2_anxiety_depression_personality,6A,3,37
D.2_anxiety_depression_personality,6A,4,45
D.2_anxiety_depression_personality,6A,5,52
D.2_anxiety_depression_personality,6A,6,58
D.2_anxiety_depression_personality,6A,7,64
D.2_anxiety_depression_personality,6A,8,69
D.2_anxiety_depression_personality,6A,9,74
D.2_anxiety_depression_personality,6A,10,79
D.2_anxiety_depression_personality,6A,11,84
D.2_anxiety_depression_personality,6A,12,89
D.2_anxiety_depression_personality,6A,13,95
D.2_anxiety_depression_personality,6A,14,101
D.2_anxiety_depression_personality,6A,15,108
D.2_anxiety_depression_personality,6A,16,117
D.2_anxiety_depression_personality,6B,0,4
D.2_anxiety_depression_personality,6B,1,12
D.2_anxiety_depression_personality,6B,2,20
D.2_anxiety_depression_personality,6B,3,27
D.2_anxiety_depression_personality,6B,4,33
D.2_anxiety_depression_personality,6B,5,39
D.2_anxiety_depression_personality,6B,6,44
D.2_anxiety_depression_personality,6B,7,49
D.2_anxiety_depression_personality,6B,8,53
D.2_anxiety_depression_personality,6B,9,58
D.2_anxiety_depression_personality,6B,10,62
D.2_anxiety_depression_personality,6B,11,66
D.2_anxiety_depression_personality,6B,12,70
D.2_anxiety_depression_personality,6B,13,74
D.2_anxiety_depression_personality,6B,14,77
D.2_anxiety_depression_personality,6B,15,81
D.2_anxiety_depression_personality,6B,16,85
D.2_anxiety_depression_personality,6B,17,89
D.2_anxiety_depression_personality,6B,18,93
D.2_anxiety_depression_personality,6B,19,98
D.2_anxiety_depression_personality,6B,20,103
D.2_anxiety_depression_personality,6B,21,110
D.2_anxiety_depression_personality,7,0,3
D.2_anxiety_depression_personality,7,1,8
D.2_anxiety_depression_personality,7,2,13
D.2_anxiety_depression_personality,7,3,18
D.2_anxiety_depression_personality,7,4,22
D.2_anxiety_depression_personality,7,5,26
D.2_anxiety_depression_personality,7,6,30
D.2_anxiety_depression_personality,7,7,34
D.2_anxiety_depression_personality,7,8,38
D.2_anxiety_depression_personality,7,9,41
D.2_anxiety_depression_personality,7,10,44
D.2_anxiety_depression_personality,7,11,48
D.2_anxiety_depression_personality,7,12,51
D.2_anxiety_depression_personality,7,13,54
D.2_anxiety_depression_personality,7,14,57
D.2_anxiety_depression_personality,7,15,60
D.2_anxiety_depression_personality,7,16,63
D.2_anxiety_depression_personality,7,17,66
D.2_anxiety_depression_personality,7,18,69
D.2_anxiety_depression_personality,7,19,72
D.2_anxiety_depression_personality,7,20,76
D.2_anxiety_depression_personality,7,21,79
D.2_anxiety_depression_personality,7,22,83
D.2_anxiety_depression_personality,7,23,87
D.2_anxiety_depression_personality,7,24,92
D.2_anxiety_depression_personality,7,25,97
D.2_anxiety_depression_personality,7,26,103
D.2_anxiety_depression_personality,8A,0,2
D.2_anxiety_depression_personality,8A,1,8
D.2_anxiety_depression_personality,8A,2,15
D.2_anxiety_depression_personality,8A,3,21
D.2_anxiety_depression_personality,8A,4,27
D.2_anxiety_depression_personality,8A,5,32
D.2_anxiety_depression_personality,8A,6,37
D.2_anxiety_depression_personality,8A,7,41
D.2_anxiety_depression_personality,8A,8,45
D.2_anxiety_depression_personality,8A,9,49
D.2_anxiety_depression_personality,8A,10,53
D.2_anxiety_depression_personality,8A,11,57
D.2_anxiety_depression_personality,8A,12,60
D.2_anxiety_depression_personality,8A,13,63
D.2_anxiety_depression_personality,8A,14,66
D.2_anxiety_depression_personality,8A,15,69
D.2_anxiety_depression_personality,8A,16,72
D.2_anxiety_depression_personality,8A,17,75
D.2_anxiety_depression_personality,8A,18,78
D.2_anxiety_depression_personality,8A,19,81
D.2_anxiety_depression_personality,8A,20,84
D.2_anxiety_depression_personality,8A,21,87
D.2_anxiety_depression_personality,8A,22,91
D.2_anxiety_depression_personality,8A,23,95
D.2_anxiety_depression_personality,8A,24,99
D.2_anxiety_depression_personality,8A,25,104
D.2_anxiety_depression_personality,8A,26,110
D.2_anxiety_depression_personality,8B,0,2
D.2_anxiety_depression_personality,8B,1,9
D.2_anxiety_depression_personality,8B,2,16
D.2_anxiety_depression_personality,8B,3,22
D.2_anxiety_depression_personality,8B,4,28
D.2_anxiety_depression_personality,8B,5,33
D.2_anxiety_depression_personality,8B,6,38
D.2_anxiety_depression_personality,8B,7,42
D.2_anxiety_depression_personality,8B,8,47
D.2_anxiety_depression_personality,8B,9,51
D.2_anxiety_depression_personality,8B,10,55
D.2_anxiety_depression_personality,8B,11,58
D.2_anxiety_depression_personality,8B,12,62
D.2_anxiety_depression_personality,8B,13,65
D.2_anxiety_depression_personality,8B,14,68
D.2_anxiety_depression_personality,8B,15,71
D.2_anxiety_depression_personality,8B,16,74
D.2_anxiety_depression_personality,8B,17,77
D.2_anxiety_depression_personality,8B,18,80
D.2_anxiety_depression_personality,8B,19,83
D.2_anxiety_depression_personality,8B,20,86
D.2_anxiety_depression_personality,8B,21,89
D.2_anxiety_depression_personality,8B,22,92
D.2_anxiety_depression_personality,8B,23,96
D.2_anxiety_depression_personality,8B,24,100
D.2_anxiety_depression_personality,8B,25,105
D.2_anxiety_depression_personality,8B,26,111
D.2_anxiety_depression_personality,S,0,1
D.2_anxiety_depression_personality,S,1,7
D.2_anxiety_depression_personality,S,2,14
D.2_anxiety_depression_personality,S,3,20
D.2_anxiety_depression_personality,S,4,26
D.2_anxiety_depression_personality,S,5,31
D.2_anxiety_depression_personality,S,6,36
D.2_anxiety_depression_personality,S,7,40
D.2_anxiety_depression_personality,S,8,44
D.2_anxiety_depression_personality,S,9,48
D.2_anxiety_depression_personality,S,10,52
D.2_anxiety_depression_personality,S,11,56
D.2_anxiety_depression_personality,S,12,59
D.2_anxiety_depression_personality,S,13,62
D.2_anxiety_depression_personality,S,14,65
D.2_anxiety_depression_personality,S,15,68
D.2_anxiety_depression_personality,S,16,71
D.2_anxiety_depression_personality,S,17,74
D.2_anxiety_depression_personality,S,18,77
D.2_anxiety_depression_personality,S,19,80
D.2_anxiety_depression_personality,S,20,83
D.2_anxiety_depression_personality,S,21,86
D.2_anxiety_depression_personality,S,22,90
D.2_anxiety_depression_personality,S,23,94
D.2_anxiety_depression_personality,S,24,98
D.2_anxiety_depression_personality,S,25,103
D.2_anxiety_depression_personality,S,26,109
D.2_anxiety_depression_personality,S,27,116
D.2_anxiety_depression_personality,C,0,1
D.2_anxiety_depression_personality,C,1,7
D.2_anxiety_depression_personality,C,2,14
D.2_anxiety_depression_personality,C,3,20
D.2_anxiety_depression_personality,C,4,25
D.2_anxiety_depression_personality,C,5,30
D.2_anxiety_depression_personality,C,6,35
D.2_anxiety_depression_personality,C,7,39
D.2_anxiety_depression_personality,C,8,44
D.2_anxiety_depression_personality,C,9,48
D.2_anxiety_depression_personality,C,10,51
D.2_anxiety_depression_personality,C,11,55
D.2_anxiety_depression_personality,C,12,58
D.2_anxiety_depression_personality,C,13,62
D.2_anxiety_depression_personality,C,14,65
D.2_anxiety_depression_personality,C,15,68
D.2_anxiety_depression_personality,C,16,71
D.2_anxiety_depression_personality,C,17,74
D.2_anxiety_depression_personality,C,18,77
D.2_anxiety_depression_personality,C,19,80
D.2_anxiety_depression_personality,C,20,83
D.2_anxiety_depression_personality,C,21,86
D.2_anxiety_depression_personality,C,22,89
D.2_anxiety_depression_personality,C,23,93
D.2_anxiety_depression_personality,C,24,97
D.2_anxiety_depression_personality,C,25,101
D.2_anxiety_depression_personality,C,26,106
D.2_anxiety_depression_personality,C,27,112
D.2_anxiety_depression_personality,P,0,2
D.2_anxiety_depression_personality,P,1,9
D.2_anxiety_depression_personality,P,2,17
D.2_anxiety_depression_personality,P,3,24
D.2_anxiety_depression_personality,P,4,30
D.2_anxiety_depression_personality,P,5,36
D.2_anxiety_depression_personality,P,6,41
D.2_anxiety_depression_personality,P,7,46
D.2_anxiety_depression_personality,P,8,51
D.2_anxiety_depression_personality,P,9,56
D.2_anxiety_depression_personality,P,10,60
D.2_anxiety_depression_personality,P,11,64
D.2_anxiety_depression_personality,P,12,68
D.2_anxiety_depression_personality,P,13,72
D.2_anxiety_depression_personality,P,14,76
D.2_anxiety_depression_personality,P,15,80
D.2_anxiety_depression_personality,P,16,84
D.2_anxiety_depression_personality,P,17,88
D.2_anxiety_depression_personality,P,18,93
D.2_anxiety_depression_personality,P,19,98
D.2_anxiety_depression_personality,P,20,104
D.2_anxiety_depression_personality,P,21,111
D.2_anxiety_depression_clinical,A,0,3
D.2_anxiety_depression_clinical,A,1,15
D.2_anxiety_depression_clinical,A,2,26
D.2_anxiety_depression_clinical,A,3,33
D.2_anxiety_depression_clinical,A,4,39
D.2_anxiety_depression_clinical,A,5,44
D.2_anxiety_depression_clinical,A,6,49
D.2_anxiety_depression_clinical,A,7,53
D.2_anxiety_depression_clinical,A,8,57
D.2_anxiety_depression_clinical,A,9,60
D.2_anxiety_depression_clinical,A,10,64
D.2_anxiety_depression_clinical,A,11,67
D.2_anxiety_depression_clinical,A,12,70
D.2_anxiety_depression_clinical,A,13,73
D.2_anxiety_depression_clinical,A,14,76
D.2_anxiety_depression_clinical,A,15,79
D.2_anxiety_depression_clinical,A,16,82
D.2_anxiety_depression_clinical,A,17,85
D.2_anxiety_depression_clinical,A,18,88
D.2_anxiety_depression_clinical,A,19,91
D.2_anxiety_depression_clinical,A,20,95
D.2_anxiety_depression_clinical,A,21,99
D.2_anxiety_depression_clinical,A,22,103
D.2_anxiety_depression_clinical,A,23,108
D.2_anxiety_depression_clinical,A,24,114
D.2_anxiety_depression_clinical,H,0,1
D.2_anxiety_depression_clinical,H,1,8
D.2_anxiety_depression_clinical,H,2,18
D.2_anxiety_depression_clinical,H,3,26
D.2_anxiety_depression_clinical,H,4,33
D.2_anxiety_depression_clinical,H,5,39
D.2_anxiety_depression_clinical,H,6,44
D.2_anxiety_depression_clinical,H,7,49
D.2_anxiety_depression_clinical,H,8,54
D.2_anxiety_depression_clinical,H,9,58
D.2_anxiety_depression_clinical,H,10,62
D.2_anxiety_depression_clinical,H,11,66
D.2_anxiety_depression_clinical,H,12,70
D.2_anxiety_depression_clinical,H,13,74
D.2_anxiety_depression_clinical,H,14,78
D.2_anxiety_depression_clinical,H,15,82
D.2_anxiety_depression_clinical,H,16,86
D.2_anxiety_depression_clinical,H,17,90
D.2_anxiety_depression_clinical,H,18,95
D.2_anxiety_depression_clinical,H,19,100
D.2_anxiety_depression_clinical,H,20,106
D.2_anxiety_depression_clinical,H,21,113
D.2_anxiety_depression_clinical,N,0,5
D.2_anxiety_depression_clinical,N,1,14
D.2_anxiety_depression_clinical,N,2,22
D.2_anxiety_depression_clinical,N,3,28
D.2_anxiety_depression_clinical,N,4,34
D.2_anxiety_depression_clinical,N,5,39
D.2_anxiety_depression_clinical,N,6,44
D.2_anxiety_depression_clinical,N,7,48
D.2_anxiety_depression_clinical,N,8,52
D.2_anxiety_depression_clinical,N,9,56
D.2_anxiety_depression_clinical,N,10,60
D.2_anxiety_depression_clinical,N,11,64
D.2_anxiety_depression_clinical,N,12,68
D.2_anxiety_depression_clinical,N,13,72
D.2_anxiety_depression_clinical,N,14,76
D.2_anxiety_depression_clinical,N,15,80
D.2_anxiety_depression_clinical,N,16,85
D.2_anxiety_depression_clinical,N,17,90
D.2_anxiety_depression_clinical,N,18,96
D.2_anxiety_depression_clinical,N,19,103
D.2_anxiety_depression_clinical,N,20,112
D.2_anxiety_depression_clinical,D,0,1
D.2_anxiety_depression_clinical,D,1,10
D.2_anxiety_depression_clinical,D,2,19
D.2_anxiety_depression_clinical,D,3,26
D.2_anxiety_depression_clinical,D,4,32
D.2_anxiety_depression_clinical,D,5,37
D.2_anxiety_depression_clinical,D,6,42
D.2_anxiety_depression_clinical,D,7,46
D.2_anxiety_depression_clinical,D,8,50
D.2_anxiety_depression_clinical,D,9,54
D.2_anxiety_depression_clinical,D,10,58
D.2_anxiety_depression_clinical,D,11,62
D.2_anxiety_depression_clinical,D,12,65
D.2_anxiety_depression_clinical,D,13,69
D.2_anxiety_depression_clinical,D,14,72
D.2_anxiety_depression_clinical,D,15,76
D.2_anxiety_depression_clinical,D,16,80
D.2_anxiety_depression_clinical,D,17,84
D.2_anxiety_depression_clinical,D,18,88
D.2_anxiety_depression_clinical,D,19,93
D.2_anxiety_depression_clinical,D,20,98
D.2_anxiety_depression_clinical,D,21,104
D.2_anxiety_depression_clinical,D,22,112
D.2_anxiety_depression_clinical,B,0,4
D.2_anxiety_depression_clinical,B,1,12
D.2_anxiety_depression_clinical,B,2,20
D.2_anxiety_depression_clinical,B,3,27
D.2_anxiety_depression_clinical,B,4,34
D.2_anxiety_depression_clinical,B,5,40
D.2_anxiety_depression_clinical,B,6,46
D.2_anxiety_depression_clinical,B,7,52
D.2_anxiety_depression_clinical,B,8,57
D.2_anxiety_depression_clinical,B,9,63
D.2_anxiety_depression_clinical,B,10,68
D.2_anxiety_depression_clinical,B,11,74
D.2_anxiety_depression_clinical,B,12,80
D.2_anxiety_depression_clinical,B,13,86
D.2_anxiety_depression_clinical,B,14,93
D.2_anxiety_depression_clinical,B,15,101
D.2_anxiety_depression_clinical,B,16,110
D.2_anxiety_depression_clinical,T,0,6
D.2_anxiety_depression_clinical,T,1,14
D.2_anxiety_depression_clinical,T,2,22
D.2_anxiety_depression_clinical,T,3,29
D.2_anxiety_depression_clinical,T,4,35
D.2_anxiety_depression_clinical,T,5,41
D.2_anxiety_depression_clinical,T,6,47
D.2_anxiety_depression_clinical,T,7,52
D.2_anxiety_depression_clinical,T,8,58
D.2_anxiety_depression_clinical,T,9,63
D.2_anxiety_depression_clinical,T,10,69
D.2_anxiety_depression_clinical,T,11,74
D.2_anxiety_depression_clinical,T,12,80
D.2_anxiety_depression_clinical,T,13,87
D.2_anxiety_depression_clinical,T,14,94
D.2_anxiety_depression_clinical,T,15,102
D.2_anxiety_depression_clinical,T,16,112
D.2_anxiety_depression_clinical,R,0,1
D.2_anxiety_depression_clinical,R,1,7
D.2_anxiety_depression_clinical,R,2,15
D.2_anxiety_depression_clinical,R,3,22
D.2_anxiety_depression_clinical,R,4,28
D.2_anxiety_depression_clinical,R,5,33
D.2_anxiety_depression_clinical,R,6,38
D.2_anxiety_depression_clinical,R,7,42
D.2_anxiety_depression_clinical,R,8,47
D.2_anxiety_depression_clinical,R,9,51
D.2_anxiety_depression_clinical,R,10,55
D.2_anxiety_depression_clinical,R,11,59
D.2_anxiety_depression_clinical,R,12,63
D.2_anxiety_depression_clinical,R,13,66
D.2_anxiety_depression_clinical,R,14,70
D.2_anxiety_depression_clinical,R,15,74
D.2_anxiety_depression_clinical,R,16,78
D.2_anxiety_depression_clinical,R,17,82
D.2_anxiety_depression_clinical,R,18,86
D.2_anxiety_depression_clinical,R,19,90
D.2_anxiety_depression_clinical,R,20,95
D.2_anxiety_depression_clinical,R,21,100
D.2_anxiety_depression_clinical,R,22,106
D.2_anxiety_depression_clinical,R,23,114
D.2_anxiety_depression_clinical,SS,0,1
D.2_anxiety_depression_clinical,SS,1,5
D.2_anxiety_depression_clinical,SS,2,14
D.2_anxiety_depression_clinical,SS,3,22
D.2_anxiety_depression_clinical,SS,4,29
D.2_anxiety_depression_clinical,SS,5,35
D.2_anxiety_depression_clinical,SS,6,41
D.2_anxiety_depression_clinical,SS,7,46
D.2_anxiety_depression_clinical,SS,8,51
D.2_anxiety_depression_clinical,SS,9,56
D.2_anxiety_depression_clinical,SS,10,61
D.2_anxiety_depression_clinical,SS,11,66
D.2_anxiety_depression_clinical,SS,12,71
D.2_anxiety_depression_clinical,SS,13,76
D.2_anxiety_depression_clinical,SS,14,81
D.2_anxiety_depression_clinical,SS,15,87
D.2_anxiety_depression_clinical,SS,16,93
D.2_anxiety_depression_clinical,SS,17,101
D.2_anxiety_depression_clinical,SS,18,110
D.2_anxiety_depression_clinical,CC,0,1
D.2_anxiety_depression_clinical,CC,1,6
D.2_anxiety_depression_clinical,CC,2,14
D.2_anxiety_depression_clinical,CC,3,21
D.2_anxiety_depression_clinical,CC,4,27
D.2_anxiety_depression_clinical,CC,5,33
D.2_anxiety_depression_clinical,CC,6,38
D.2_anxiety_depression_clinical,CC,7,43
D.2_anxiety_depression_clinical,CC,8,48
D.2_anxiety_depression_clinical,CC,9,53
D.2_anxiety_depression_clinical,CC,10,58
D.2_anxiety_depression_clinical,CC,11,62
D.2_anxiety_depression_clinical,CC,12,67
D.2_anxiety_depression_clinical,CC,13,72
D.2_anxiety_depression_clinical,CC,14,77
D.2_anxiety_depression_clinical,CC,15,82
D.2_anxiety_depression_clinical,CC,16,88
D.2_anxiety_depression_clinical,CC,17,95
D.2_anxiety_depression_clinical,CC,18,103
D.2_anxiety_depression_clinical,CC,19,114
D.2_anxiety_depression_clinical,PP,0,1
D.2_anxiety_depression_clinical,PP,1,7
D.2_anxiety_depression_clinical,PP,2,16
D.2_anxiety_depression_clinical,PP,3,24
D.2_anxiety_depression_clinical,PP,4,31
D.2_anxiety_depression_clinical,PP,5,38
D.2_anxiety_depression_clinical,PP,6,44
D.2_anxiety_depression_clinical,PP,7,50
D.2_anxiety_depression_clinical,PP,8,56
D.2_anxiety_depression_clinical,PP,9,62
D.2_anxiety_depression_clinical,PP,10,68
D.2_anxiety_depression_clinical,PP,11,74
D.2_anxiety_depression_clinical,PP,12,80
D.2_anxiety_depression_clinical,PP,13,87
D.2_anxiety_depression_clinical,PP,14,95
D.2_anxiety_depression_clinical,PP,15,104
D.2_anxiety_depression_clinical,PP,16,115
