table,scale,raw_score,br_value
D.2_clinical_syndromes,D,22,112
D.2_clinical_syndromes,B,0,4
D.2_clinical_syndromes,B,1,12
D.2_clinical_syndromes,B,2,20
D.2_clinical_syndromes,B,3,27
D.2_clinical_syndromes,B,4,34
D.2_clinical_syndromes,B,5,40
D.2_clinical_syndromes,B,6,46
D.2_clinical_syndromes,B,7,52
D.2_clinical_syndromes,B,8,57
D.2_clinical_syndromes,B,9,63
D.2_clinical_syndromes,B,10,68
D.2_clinical_syndromes,B,11,74
D.2_clinical_syndromes,B,12,80
D.2_clinical_syndromes,B,13,86
D.2_clinical_syndromes,B,14,93
D.2_clinical_syndromes,B,15,101
D.2_clinical_syndromes,B,16,110
D.2_clinical_syndromes,T,0,6
D.2_clinical_syndromes,T,1,14
D.2_clinical_syndromes,T,2,22
D.2_clinical_syndromes,T,3,29
D.2_clinical_syndromes,T,4,35
D.2_clinical_syndromes,T,5,41
D.2_clinical_syndromes,T,6,47
D.2_clinical_syndromes,T,7,52
D.2_clinical_syndromes,T,8,58
D.2_clinical_syndromes,T,9,63
D.2_clinical_syndromes,T,10,69
D.2_clinical_syndromes,T,11,74
D.2_clinical_syndromes,T,12,80
D.2_clinical_syndromes,T,13,87
D.2_clinical_syndromes,T,14,94
D.2_clinical_syndromes,T,15,102
D.2_clinical_syndromes,T,16,112
D.2_clinical_syndromes,R,0,1
D.2_clinical_syndromes,R,1,7
D.2_clinical_syndromes,R,2,15
D.2_clinical_syndromes,R,3,22
D.2_clinical_syndromes,R,4,28
D.2_clinical_syndromes,R,5,33
D.2_clinical_syndromes,R,6,38
D.2_clinical_syndromes,R,7,42
D.2_clinical_syndromes,R,8,47
D.2_clinical_syndromes,R,9,51
D.2_clinical_syndromes,R,10,55
D.2_clinical_syndromes,R,11,59
D.2_clinical_syndromes,R,12,63
D.2_clinical_syndromes,R,13,66
D.2_clinical_syndromes,R,14,70
D.2_clinical_syndromes,R,15,74
D.2_clinical_syndromes,R,16,78
D.2_clinical_syndromes,R,17,82
D.2_clinical_syndromes,R,18,86
D.2_clinical_syndromes,R,19,90
D.2_clinical_syndromes,R,20,95
D.2_clinical_syndromes,R,21,100
D.2_clinical_syndromes,R,22,106
D.2_clinical_syndromes,R,23,114
D.2_clinical_syndromes,SS,0,1
D.2_clinical_syndromes,SS,1,5
D.2_clinical_syndromes,SS,2,14
D.2_clinical_syndromes,SS,3,22
D.2_clinical_syndromes,SS,4,29
D.2_clinical_syndromes,SS,5,35
D.2_clinical_syndromes,SS,6,41
D.2_clinical_syndromes,SS,7,46
D.2_clinical_syndromes,SS,8,51
D.2_clinical_syndromes,SS,9,56
D.2_clinical_syndromes,SS,10,61
D.2_clinical_syndromes,SS,11,66
D.2_clinical_syndromes,SS,12,71
D.2_clinical_syndromes,SS,13,76
D.2_clinical_syndromes,SS,14,81
D.2_clinical_syndromes,SS,15,87
D.2_clinical_syndromes,SS,16,93
D.2_clinical_syndromes,SS,17,101
D.2_clinical_syndromes,SS,18,110
D.2_clinical_syndromes,CC,0,1
D.2_clinical_syndromes,CC,1,6
D.2_clinical_syndromes,CC,2,14
D.2_clinical_syndromes,CC,3,21
D.2_clinical_syndromes,CC,4,27
D.2_clinical_syndromes,CC,5,33
D.2_clinical_syndromes,CC,6,38
D.2_clinical_syndromes,CC,7,43
D.2_clinical_syndromes,CC,8,48
D.2_clinical_syndromes,CC,9,53
D.2_clinical_syndromes,CC,10,58
D.2_clinical_syndromes,CC,11,62
D.2_clinical_syndromes,CC,12,67
D.2_clinical_syndromes,CC,13,72
D.2_clinical_syndromes,CC,14,77
D.2_clinical_syndromes,CC,15,82
D.2_clinical_syndromes,CC,16,88
D.2_clinical_syndromes,CC,17,95
D.2_clinical_syndromes,CC,18,103
D.2_clinical_syndromes,CC,19,114
D.2_clinical_syndromes,PP,0,1
D.2_clinical_syndromes,PP,1,7
D.2_clinical_syndromes,PP,2,16
D.2_clinical_syndromes,PP,3,24
D.2_clinical_syndromes,PP,4,31
D.2_clinical_syndromes,PP,5,38
D.2_clinical_syndromes,PP,6,44
D.2_clinical_syndromes,PP,7,50
D.2_clinical_syndromes,PP,8,56
D.2_clinical_syndromes,PP,9,62
D.2_clinical_syndromes,PP,10,68
D.2_clinical_syndromes,PP,11,74
D.2_clinical_syndromes,PP,12,80
D.2_clinical_syndromes,PP,13,87
D.2_clinical_syndromes,PP,14,95
D.2_clinical_syndromes,PP,15,104
D.2_clinical_syndromes,PP,16,115
