table,scale,raw_score,br_value
D.2_part2_personality,3,21,88
D.2_part2_personality,3,22,91
D.2_part2_personality,3,23,94
D.2_part2_personality,3,24,97
D.2_part2_personality,3,25,100
D.2_part2_personality,3,26,103
D.2_part2_personality,3,27,106
D.2_part2_personality,3,28,109
D.2_part2_personality,3,29,112
D.2_part2_personality,3,30,115
D.2_part2_personality,4A,0,0
D.2_part2_personality,4A,1,4
D.2_part2_personality,4A,2,10
D.2_part2_personality,4A,3,16
D.2_part2_personality,4A,4,22
D.2_part2_personality,4A,5,27
D.2_part2_personality,4A,6,31
D.2_part2_personality,4A,7,35
D.2_part2_personality,4A,8,39
D.2_part2_personality,4A,9,43
D.2_part2_personality,4A,10,46
D.2_part2_personality,4A,11,49
D.2_part2_personality,4A,12,52
D.2_part2_personality,4A,13,54
D.2_part2_personality,4A,14,56
D.2_part2_personality,4A,15,58
D.2_part2_personality,4A,16,60
D.2_part2_personality,4A,17,62
D.2_part2_personality,4A,18,64
D.2_part2_personality,4A,19,66
D.2_part2_personality,4A,20,68
D.2_part2_personality,4A,21,70
D.2_part2_personality,4A,22,72
D.2_part2_personality,4A,23,74
D.2_part2_personality,4A,24,76
D.2_part2_personality,4A,25,79
D.2_part2_personality,4A,26,82
D.2_part2_personality,4A,27,85
D.2_part2_personality,4A,28,88
D.2_part2_personality,4A,29,91
D.2_part2_personality,4A,30,94
D.2_part2_personality,4A,31,97
D.2_part2_personality,4A,32,100
D.2_part2_personality,4A,33,103
D.2_part2_personality,4A,34,106
D.2_part2_personality,4A,35,109
D.2_part2_personality,4A,36,112
D.2_part2_personality,4A,37,115
D.2_part2_personality,4B,0,0
D.2_part2_personality,4B,1,4
D.2_part2_personality,4B,2,10
D.2_part2_personality,4B,3,16
D.2_part2_personality,4B,4,21
D.2_part2_personality,4B,5,26
D.2_part2_personality,4B,6,31
D.2_part2_personality,4B,7,35
D.2_part2_personality,4B,8,39
D.2_part2_personality,4B,9,42
D.2_part2_personality,4B,10,45
D.2_part2_personality,4B,11,48
D.2_part2_personality,4B,12,51
D.2_part2_personality,4B,13,53
D.2_part2_personality,4B,14,55
D.2_part2_personality,4B,15,57
D.2_part2_personality,4B,16,59
D.2_part2_personality,4B,17,61
D.2_part2_personality,4B,18,63
D.2_part2_personality,4B,19,65
D.2_part2_personality,4B,20,67
D.2_part2_personality,4B,21,69
D.2_part2_personality,4B,22,71
D.2_part2_personality,4B,23,73
D.2_part2_personality,4B,24,76
D.2_part2_personality,4B,25,79
D.2_part2_personality,4B,26,82
D.2_part2_personality,4B,27,85
D.2_part2_personality,4B,28,88
D.2_part2_personality,4B,29,91
D.2_part2_personality,4B,30,94
D.2_part2_personality,4B,31,97
D.2_part2_personality,4B,32,100
D.2_part2_personality,4B,33,103
D.2_part2_personality,4B,34,106
D.2_part2_personality,4B,35,109
D.2_part2_personality,4B,36,112
D.2_part2_personality,4B,37,115
D.2_part2_personality,5,0,0
D.2_part2_personality,5,1,5
D.2_part2_personality,5,2,13
D.2_part2_personality,5,3,20
D.2_part2_personality,5,4,27
D.2_part2_personality,5,5,33
D.2_part2_personality,5,6,38
D.2_part2_personality,5,7,43
D.2_part2_personality,5,8,47
D.2_part2_personality,5,9,51
D.2_part2_personality,5,10,54
D.2_part2_personality,5,11,57
D.2_part2_personality,5,12,60
D.2_part2_personality,5,13,63
D.2_part2_personality,5,14,66
D.2_part2_personality,5,15,69
D.2_part2_personality,5,16,72
D.2_part2_personality,5,17,75
D.2_part2_personality,5,18,78
D.2_part2_personality,5,19,81
D.2_part2_personality,5,20,84
D.2_part2_personality,5,21,87
D.2_part2_personality,5,22,90
D.2_part2_personality,5,23,93
D.2_part2_personality,5,24,96
D.2_part2_personality,5,25,99
D.2_part2_personality,5,26,102
D.2_part2_personality,5,27,105
D.2_part2_personality,5,28,108
D.2_part2_personality,5,29,111
D.2_part2_personality,5,30,115
D.2_part2_personality,6A,0,0
D.2_part2_personality,6A,1,7
D.2_part2_personality,6A,2,16
D.2_part2_personality,6A,3,25
D.2_part2_personality,6A,4,33
D.2_part2_personality,6A,5,40
D.2_part2_personality,6A,6,46
D.2_part2_personality,6A,7,51
D.2_part2_personality,6A,8,55
D.2_part2_personality,6A,9,59
D.2_part2_personality,6A,10,62
D.2_part2_personality,6A,11,65
D.2_part2_personality,6A,12,68
D.2_part2_personality,6A,13,71
D.2_part2_personality,6A,14,74
D.2_part2_personality,6A,15,77
D.2_part2_personality,6A,16,80
D.2_part2_personality,6A,17,83
D.2_part2_personality,6A,18,86
D.2_part2_personality,6A,19,89
D.2_part2_personality,6A,20,92
D.2_part2_personality,6A,21,95
D.2_part2_personality,6A,22,98
D.2_part2_personality,6A,23,101
D.2_part2_personality,6A,24,104
D.2_part2_personality,6A,25,107
D.2_part2_personality,6A,26,110
D.2_part2_personality,6A,27,113
D.2_part2_personality,6A,28,115
D.2_part2_personality,6B,0,0
D.2_part2_personality,6B,1,5
D.2_part2_personality,6B,2,12
D.2_part2_personality,6B,3,19
D.2_part2_personality,6B,4,25
D.2_part2_personality,6B,5,31
D.2_part2_personality,6B,6,36
D.2_part2_personality,6B,7,40
D.2_part2_personality,6B,8,44
D.2_part2_personality,6B,9,47
D.2_part2_personality,6B,10,50
D.2_part2_personality,6B,11,53
D.2_part2_personality,6B,12,55
D.2_part2_personality,6B,13,57
D.2_part2_personality,6B,14,59
D.2_part2_personality,6B,15,61
D.2_part2_personality,6B,16,63
D.2_part2_personality,6B,17,65
D.2_part2_personality,6B,18,67
D.2_part2_personality,6B,19,69
D.2_part2_personality,6B,20,71
D.2_part2_personality,6B,21,73
D.2_part2_personality,6B,22,75
D.2_part2_personality,6B,23,78
D.2_part2_personality,6B,24,81
D.2_part2_personality,6B,25,84
D.2_part2_personality,6B,26,87
D.2_part2_personality,6B,27,90
D.2_part2_personality,6B,28,93
D.2_part2_personality,6B,29,96
D.2_part2_personality,6B,30,99
D.2_part2_personality,6B,31,102
D.2_part2_personality,6B,32,105
D.2_part2_personality,6B,33,108
D.2_part2_personality,6B,34,111
D.2_part2_personality,6B,35,115
D.2_part2_personality,7,0,0
D.2_part2_personality,7,1,3
D.2_part2_personality,7,2,7
D.2_part2_personality,7,3,12
D.2_part2_personality,7,4,16
D.2_part2_personality,7,5,20
D.2_part2_personality,7,6,24
D.2_part2_personality,7,7,28
D.2_part2_personality,7,8,31
D.2_part2_personality,7,9,34
D.2_part2_personality,7,10,37
D.2_part2_personality,7,11,40
D.2_part2_personality,7,12,43
D.2_part2_personality,7,13,45
D.2_part2_personality,7,14,47
D.2_part2_personality,7,15,49
D.2_part2_personality,7,16,51
D.2_part2_personality,7,17,53
D.2_part2_personality,7,18,55
D.2_part2_personality,7,19,57
D.2_part2_personality,7,20,59
D.2_part2_personality,7,21,61
D.2_part2_personality,7,22,63
D.2_part2_personality,7,23,65
D.2_part2_personality,7,24,67
D.2_part2_personality,7,25,69
D.2_part2_personality,7,26,72
D.2_part2_personality,7,27,75
D.2_part2_personality,7,28,78
D.2_part2_personality,7,29,81
D.2_part2_personality,7,30,84
D.2_part2_personality,7,31,87
D.2_part2_personality,7,32,90
D.2_part2_personality,7,33,93
D.2_part2_personality,7,34,96
D.2_part2_personality,7,35,99
D.2_part2_personality,7,36,102
D.2_part2_personality,7,37,105
D.2_part2_personality,7,38,108
D.2_part2_personality,7,39,111
D.2_part2_personality,7,40,114
D.2_part2_personality,7,41,115
D.2_part2_personality,8A,0,0
D.2_part2_personality,8A,1,4
D.2_part2_personality,8A,2,9
D.2_part2_personality,8A,3,15
D.2_part2_personality,8A,4,21
D.2_part2_personality,8A,5,26
D.2_part2_personality,8A,6,31
D.2_part2_personality,8A,7,35
D.2_part2_personality,8A,8,39
D.2_part2_personality,8A,9,42
D.2_part2_personality,8A,10,45
D.2_part2_personality,8A,11,48
D.2_part2_personality,8A,12,51
D.2_part2_personality,8A,13,53
D.2_part2_personality,8A,14,55
D.2_part2_personality,8A,15,57
D.2_part2_personality,8A,16,59
D.2_part2_personality,8A,17,61
D.2_part2_personality,8A,18,63
D.2_part2_personality,8A,19,65
D.2_part2_personality,8A,20,67
D.2_part2_personality,8A,21,69
D.2_part2_personality,8A,22,71
D.2_part2_personality,8A,23,73
D.2_part2_personality,8A,24,76
D.2_part2_personality,8A,25,79
D.2_part2_personality,8A,26,82
D.2_part2_personality,8A,27,85
D.2_part2_personality,8A,28,88
D.2_part2_personality,8A,29,91
D.2_part2_personality,8A,30,94
D.2_part2_personality,8A,31,97
D.2_part2_personality,8A,32,100
D.2_part2_personality,8A,33,103
D.2_part2_personality,8A,34,106
D.2_part2_personality,8A,35,109
D.2_part2_personality,8A,36,112
D.2_part2_personality,8A,37,115
D.2_part2_personality,8B,0,0
D.2_part2_personality,8B,1,4
D.2_part2_personality,8B,2,10
D.2_part2_personality,8B,3,16
D.2_part2_personality,8B,4,21
D.2_part2_personality,8B,5,26
D.2_part2_personality,8B,6,30
D.2_part2_personality,8B,7,34
D.2_part2_personality,8B,8,38
D.2_part2_personality,8B,9,42
D.2_part2_personality,8B,10,45
D.2_part2_personality,8B,11,48
D.2_part2_personality,8B,12,51
D.2_part2_personality,8B,13,53
D.2_part2_personality,8B,14,55
D.2_part2_personality,8B,15,57
D.2_part2_personality,8B,16,59
D.2_part2_personality,8B,17,61
D.2_part2_personality,8B,18,63
D.2_part2_personality,8B,19,65
D.2_part2_personality,8B,20,67
D.2_part2_personality,8B,21,69
D.2_part2_personality,8B,22,71
D.2_part2_personality,8B,23,74
D.2_part2_personality,8B,24,77
D.2_part2_personality,8B,25,80
D.2_part2_personality,8B,26,83
D.2_part2_personality,8B,27,86
D.2_part2_personality,8B,28,89
D.2_part2_personality,8B,29,92
D.2_part2_personality,8B,30,95
D.2_part2_personality,8B,31,98
D.2_part2_personality,8B,32,101
D.2_part2_personality,8B,33,104
D.2_part2_personality,8B,34,107
D.2_part2_personality,8B,35,110
D.2_part2_personality,8B,36,113
D.2_part2_personality,8B,37,115
D.2_part2_personality,S,0,0
D.2_part2_personality,S,1,3
D.2_part2_personality,S,2,9
D.2_part2_personality,S,3,15
D.2_part2_personality,S,4,20
D.2_part2_personality,S,5,25
D.2_part2_personality,S,6,30
D.2_part2_personality,S,7,34
D.2_part2_personality,S,8,38
D.2_part2_personality,S,9,41
D.2_part2_personality,S,10,44
D.2_part2_personality,S,11,47
D.2_part2_personality,S,12,50
D.2_part2_personality,S,13,52
D.2_part2_personality,S,14,54
D.2_part2_personality,S,15,56
D.2_part2_personality,S,16,58
D.2_part2_personality,S,17,60
D.2_part2_personality,S,18,62
D.2_part2_personality,S,19,64
D.2_part2_personality,S,20,66
D.2_part2_personality,S,21,68
D.2_part2_personality,S,22,70
D.2_part2_personality,S,23,72
D.2_part2_personality,S,24,74
D.2_part2_personality,S,25,77
D.2_part2_personality,S,26,80
D.2_part2_personality,S,27,83
D.2_part2_personality,S,28,86
D.2_part2_personality,S,29,89
D.2_part2_personality,S,30,92
D.2_part2_personality,S,31,95
D.2_part2_personality,S,32,98
D.2_part2_personality,S,33,101
D.2_part2_personality,S,34,104
D.2_part2_personality,S,35,107
D.2_part2_personality,S,36,110
D.2_part2_personality,S,37,113
D.2_part2_personality,S,38,115
D.2_part2_personality,C,0,0
D.2_part2_personality,C,1,3
D.2_part2_personality,C,2,9
D.2_part2_personality,C,3,15
D.2_part2_personality,C,4,20
D.2_part2_personality,C,5,25
D.2_part2_personality,C,6,29
D.2_part2_personality,C,7,33
D.2_part2_personality,C,8,37
D.2_part2_personality,C,9,41
D.2_part2_personality,C,10,44
D.2_part2_personality,C,11,47
D.2_part2_personality,C,12,50
D.2_part2_personality,C,13,52
D.2_part2_personality,C,14,54
D.2_part2_personality,C,15,56
D.2_part2_personality,C,16,58
D.2_part2_personality,C,17,60
D.2_part2_personality,C,18,62
D.2_part2_personality,C,19,64
D.2_part2_personality,C,20,66
D.2_part2_personality,C,21,68
D.2_part2_personality,C,22,70
D.2_part2_personality,C,23,72
D.2_part2_personality,C,24,74
D.2_part2_personality,C,25,77
D.2_part2_personality,C,26,80
D.2_part2_personality,C,27,83
D.2_part2_personality,C,28,86
D.2_part2_personality,C,29,89
D.2_part2_personality,C,30,92
D.2_part2_personality,C,31,95
D.2_part2_personality,C,32,98
D.2_part2_personality,C,33,101
D.2_part2_personality,C,34,104
D.2_part2_personality,C,35,107
D.2_part2_personality,C,36,110
D.2_part2_personality,C,37,113
D.2_part2_personality,C,38,115
D.2_part2_personality,P,0,0
D.2_part2_personality,P,1,5
D.2_part2_personality,P,2,12
D.2_part2_personality,P,3,19
D.2_part2_personality,P,4,25
D.2_part2_personality,P,5,31
D.2_part2_personality,P,6,36
D.2_part2_personality,P,7,41
D.2_part2_personality,P,8,45
D.2_part2_personality,P,9,49
D.2_part2_personality,P,10,52
D.2_part2_personality,P,11,55
D.2_part2_personality,P,12,58
D.2_part2_personality,P,13,61
D.2_part2_personality,P,14,64
D.2_part2_personality,P,15,67
D.2_part2_personality,P,16,70
D.2_part2_personality,P,17,73
D.2_part2_personality,P,18,76
D.2_part2_personality,P,19,79
D.2_part2_personality,P,20,82
D.2_part2_personality,P,21,85
D.2_part2_personality,P,22,88
D.2_part2_personality,P,23,91
D.2_part2_personality,P,24,94
D.2_part2_personality,P,25,97
D.2_part2_personality,P,26,100
D.2_part2_personality,P,27,103
D.2_part2_personality,P,28,106
D.2_part2_personality,P,29,109
D.2_part2_personality,P,30,112
D.2_part2_personality,P,31,115
